Participant Name,Date,Duration (Hours),Subject / Category
Rohan Sharma,2026-09-02,6.5,Physics - Rotational Mechanics
Priya Verma,2026-09-02,7.0,Organic Chemistry - Reaction Mechanisms
Arjun Patel,2026-09-02,8.2,Calculus - Definite Integrals
Ananya Sen,2026-09-02,5.5,Biology - Genetics & Evolution
Vikram Singh,2026-09-02,6.0,Physical Chemistry - Thermodynamics
Neha Gupta,2026-09-02,6.5,Mathematics - Vectors & 3D Geometry
Dev Malhotra,2026-09-02,4.0,Modern Physics
Sneha Rao,2026-09-02,7.5,Inorganic Chemistry - Coordination Compounds
Kabir Mehta,2026-09-02,5.0,Mock Test Revision
Tanvi Joshi,2026-09-02,2.0,Daily Problem Sets (Under Target)
Siddharth V,2026-09-02,5.8,General Chemistry (Unrecognized Handle)
Rohan Sharma,2026-09-01,19.2,Extreme Marathon Session (Anomaly >18h)
